[started_at] 2026-05-30T12:54:27.848849+00:00
[cmd] /usr/local/miniconda3/envs/py310/bin/python -m src.infer --config /root/cej_isolated_runs/C/goal模式_unsup_repro_19full_001/candidates/stage2_all19_from_stage1_exp03_trainonly_seed42_lr1e-3_base16_seed42_lr1e-3/config/theta_0.25.yaml
/usr/local/miniconda3/envs/py310/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[2026-05-30 12:54:32,475] INFO - inferred case=ToothFairy3F_040 tooth=11
[2026-05-30 12:54:32,750] INFO - inferred case=ToothFairy3F_040 tooth=12
[2026-05-30 12:54:33,038] INFO - inferred case=ToothFairy3F_040 tooth=13
[2026-05-30 12:54:33,308] INFO - inferred case=ToothFairy3F_040 tooth=14
[2026-05-30 12:54:33,575] INFO - inferred case=ToothFairy3F_040 tooth=15
[2026-05-30 12:54:33,917] INFO - inferred case=ToothFairy3F_040 tooth=16
[2026-05-30 12:54:34,313] INFO - inferred case=ToothFairy3F_040 tooth=17
[2026-05-30 12:54:34,790] INFO - inferred case=ToothFairy3F_040 tooth=21
[2026-05-30 12:54:35,333] INFO - inferred case=ToothFairy3F_040 tooth=22
[2026-05-30 12:54:35,917] INFO - inferred case=ToothFairy3F_040 tooth=23
[2026-05-30 12:54:36,425] INFO - inferred case=ToothFairy3F_040 tooth=24
[2026-05-30 12:54:36,697] INFO - inferred case=ToothFairy3F_040 tooth=25
[2026-05-30 12:54:37,037] INFO - inferred case=ToothFairy3F_040 tooth=26
[2026-05-30 12:54:37,355] INFO - inferred case=ToothFairy3F_040 tooth=27
[2026-05-30 12:54:37,698] INFO - inferred case=ToothFairy3F_040 tooth=31
[2026-05-30 12:54:38,177] INFO - inferred case=ToothFairy3F_040 tooth=32
[2026-05-30 12:54:38,668] INFO - inferred case=ToothFairy3F_040 tooth=33
[2026-05-30 12:54:39,103] INFO - inferred case=ToothFairy3F_040 tooth=34
[2026-05-30 12:54:39,543] INFO - inferred case=ToothFairy3F_040 tooth=35
[2026-05-30 12:54:40,092] INFO - inferred case=ToothFairy3F_040 tooth=36
[2026-05-30 12:54:40,625] INFO - inferred case=ToothFairy3F_040 tooth=37
[2026-05-30 12:54:41,201] INFO - inferred case=ToothFairy3F_040 tooth=38
[2026-05-30 12:54:41,545] INFO - inferred case=ToothFairy3F_040 tooth=41
[2026-05-30 12:54:41,941] INFO - inferred case=ToothFairy3F_040 tooth=42
[2026-05-30 12:54:42,376] INFO - inferred case=ToothFairy3F_040 tooth=43
[2026-05-30 12:54:42,824] INFO - inferred case=ToothFairy3F_040 tooth=44
[2026-05-30 12:54:43,221] INFO - inferred case=ToothFairy3F_040 tooth=45
[2026-05-30 12:54:43,724] INFO - inferred case=ToothFairy3F_040 tooth=46
[2026-05-30 12:54:44,209] INFO - inferred case=ToothFairy3F_040 tooth=47
[2026-05-30 12:54:45,019] INFO - inferred case=ToothFairy3F_040 tooth=48
[2026-05-30 12:54:45,598] INFO - inferred case=ToothFairy3F_044 tooth=11
[2026-05-30 12:54:46,145] INFO - inferred case=ToothFairy3F_044 tooth=12
[2026-05-30 12:54:46,503] INFO - inferred case=ToothFairy3F_044 tooth=13
[2026-05-30 12:54:46,860] INFO - inferred case=ToothFairy3F_044 tooth=14
[2026-05-30 12:54:47,126] INFO - inferred case=ToothFairy3F_044 tooth=15
[2026-05-30 12:54:47,521] INFO - inferred case=ToothFairy3F_044 tooth=16
[2026-05-30 12:54:47,815] INFO - inferred case=ToothFairy3F_044 tooth=21
[2026-05-30 12:54:48,153] INFO - inferred case=ToothFairy3F_044 tooth=22
[2026-05-30 12:54:48,821] INFO - inferred case=ToothFairy3F_044 tooth=23
[2026-05-30 12:54:49,512] INFO - inferred case=ToothFairy3F_044 tooth=24
[2026-05-30 12:54:50,161] INFO - inferred case=ToothFairy3F_044 tooth=25
[2026-05-30 12:54:50,715] INFO - inferred case=ToothFairy3F_044 tooth=26
[2026-05-30 12:54:51,086] INFO - inferred case=ToothFairy3F_044 tooth=27
[2026-05-30 12:54:51,348] INFO - inferred case=ToothFairy3F_044 tooth=28
