[started_at] 2026-05-30T12:56:52.627818+00:00
[cmd] /usr/local/miniconda3/envs/py310/bin/python -m src.infer --config /root/cej_isolated_runs/C/goal模式_unsup_repro_19full_001/candidates/stage2_all19_from_stage1_exp03_trainonly_seed42_lr1e-3_base16_seed42_lr1e-3/config/theta_0.35.yaml
/usr/local/miniconda3/envs/py310/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[2026-05-30 12:56:58,244] INFO - inferred case=ToothFairy3F_040 tooth=11
[2026-05-30 12:56:58,513] INFO - inferred case=ToothFairy3F_040 tooth=12
[2026-05-30 12:56:58,776] INFO - inferred case=ToothFairy3F_040 tooth=13
[2026-05-30 12:56:59,011] INFO - inferred case=ToothFairy3F_040 tooth=14
[2026-05-30 12:56:59,269] INFO - inferred case=ToothFairy3F_040 tooth=15
[2026-05-30 12:56:59,603] INFO - inferred case=ToothFairy3F_040 tooth=16
[2026-05-30 12:56:59,959] INFO - inferred case=ToothFairy3F_040 tooth=17
[2026-05-30 12:57:00,256] INFO - inferred case=ToothFairy3F_040 tooth=21
[2026-05-30 12:57:00,548] INFO - inferred case=ToothFairy3F_040 tooth=22
[2026-05-30 12:57:00,900] INFO - inferred case=ToothFairy3F_040 tooth=23
[2026-05-30 12:57:01,163] INFO - inferred case=ToothFairy3F_040 tooth=24
[2026-05-30 12:57:01,402] INFO - inferred case=ToothFairy3F_040 tooth=25
[2026-05-30 12:57:01,733] INFO - inferred case=ToothFairy3F_040 tooth=26
[2026-05-30 12:57:02,054] INFO - inferred case=ToothFairy3F_040 tooth=27
[2026-05-30 12:57:02,442] INFO - inferred case=ToothFairy3F_040 tooth=31
[2026-05-30 12:57:02,803] INFO - inferred case=ToothFairy3F_040 tooth=32
[2026-05-30 12:57:03,268] INFO - inferred case=ToothFairy3F_040 tooth=33
