epoch,case_id,tooth_id,is_hard_case,sym_mean,sym_p95,gt_to_pred_mean,pred_to_gt_mean,no_curve,h_pred_max,h_pred_p99,vox03,cc_count,lcc_ratio,wrap_coverage,pred_curve_voxels,gt_curve_voxels
22,ToothFairy3F_040,11,0,1.3148770332336426,3.0,1.4742133617401123,0.5855437517166138,0,0.9991588592529297,0.6795600968599244,7920,1,1.0,0.4189189189189189,97,444
22,ToothFairy3F_040,12,0,2.1224889755249023,4.353086185455321,2.28933048248291,1.326636791229248,0,0.9988441467285156,0.4521641778945925,6559,1,1.0,0.26506024096385544,87,415
22,ToothFairy3F_040,13,0,1.166132926940918,2.4494898319244385,1.321602463722229,0.4503565728664398,0,0.999530553817749,0.8352038943767545,8080,1,1.0,0.4860215053763441,101,465
22,ToothFairy3F_040,14,0,1.6835393905639648,3.5914062738418546,1.8224693536758423,1.0372800827026367,0,0.9995467066764832,0.7076983749866079,7418,1,1.0,0.3188405797101449,89,414
22,ToothFairy3F_040,15,0,1.336043357849121,2.8284270763397217,1.476986289024353,0.6647489070892334,0,0.9996904134750366,0.9520298284292223,8492,1,1.0,0.40476190476190477,97,462
22,ToothFairy3F_040,16,0,1.3565670251846313,3.0,1.5038306713104248,0.6872864365577698,0,0.999591052532196,0.973140304088592,12128,1,1.0,0.41707717569786534,134,609
22,ToothFairy3F_040,17,0,1.7189534902572632,3.2162992119788982,1.853157639503479,1.1058614253997803,0,0.999717652797699,0.9544794684648429,12091,1,1.0,0.23307086614173228,139,635
22,ToothFairy3F_040,21,0,1.8189811706542969,3.7416574954986572,1.975981593132019,0.9938559532165527,0,0.9998133778572083,0.964815430045127,9446,1,1.0,0.28964059196617337,90,473
22,ToothFairy3F_040,22,0,1.7119472026824951,3.316624879837036,1.853836178779602,1.0449057817459106,0,0.9991167187690735,0.47634787291288694,6653,1,1.0,0.28117359413202936,87,409
22,ToothFairy3F_040,23,0,1.526185393333435,3.0,1.6601368188858032,0.9113484025001526,0,0.9992400407791138,0.8786355113983142,8830,1,1.0,0.31808278867102396,100,459
22,ToothFairy3F_040,24,0,1.6111118793487549,3.7416574954986572,1.7686270475387573,0.7815307378768921,0,0.9995513558387756,0.8570424473285689,7413,1,1.0,0.34810126582278483,90,474
22,ToothFairy3F_040,25,0,2.391460657119751,5.0,2.576328992843628,1.4985861778259277,0,0.9995384216308594,0.9561377209424973,8682,1,1.0,0.1894273127753304,94,454
22,ToothFairy3F_040,26,0,1.4202187061309814,3.0,1.550356149673462,0.7951490879058838,0,0.9996836185455322,0.9776800835132587,12431,1,1.0,0.3655737704918033,127,610
22,ToothFairy3F_040,27,0,1.8313921689987183,4.516311931610105,1.96962308883667,1.192848801612854,0,0.9998307228088379,0.970934289693831,11859,1,1.0,0.3166397415185784,134,619
22,ToothFairy3F_040,31,0,1.8037887811660767,4.116950249671935,1.9773398637771606,0.9003016948699951,0,0.9917535781860352,0.0005445945123210384,2954,1,1.0,0.24293785310734464,68,354
22,ToothFairy3F_040,32,1,1.5855144262313843,3.1622776985168457,1.720970630645752,0.9119438529014587,0,0.9971861243247986,0.0003569358788081435,3078,1,1.0,0.33608815426997246,73,363
22,ToothFairy3F_040,33,0,1.4514141082763672,3.0,1.5941178798675537,0.7786686420440674,0,0.9985129237174988,0.0006444158061640292,4511,1,1.0,0.34032634032634035,91,429
22,ToothFairy3F_040,34,0,1.5029542446136475,3.0,1.649191975593567,0.7923884391784668,0,0.9980491399765015,0.0020740125025622523,5382,1,1.0,0.3113456464379947,78,379
22,ToothFairy3F_040,35,0,1.5158095359802246,3.1622776985168457,1.6710013151168823,0.7790577411651611,0,0.9979448914527893,0.009305954314768196,6694,1,1.0,0.36363636363636365,95,451
22,ToothFairy3F_040,36,0,2.38187575340271,8.963776826858515,1.7029542922973633,3.8941311836242676,0,0.9996676445007324,0.2984118282794953,11788,3,0.9855785544621649,0.34035656401944897,277,617
22,ToothFairy3F_040,41,1,2.308043956756592,5.356812858581536,2.4921395778656006,1.3408942222595215,0,0.9937160611152649,0.0005251395056256643,3152,1,1.0,0.2546916890080429,71,373
22,ToothFairy3F_040,42,1,2.290105104446411,6.418647575378417,2.477590799331665,1.3396551609039307,0,0.9943833351135254,0.0004196382444933951,3236,1,1.0,0.2602739726027397,72,365
22,ToothFairy3F_040,43,0,4.248311519622803,11.357816696166992,4.570040702819824,2.20464825630188,0,0.9935348033905029,0.00048115253157447844,1737,5,0.5164075993091537,0.10421286031042129,71,451
22,ToothFairy3F_040,44,0,1.4719406366348267,3.1622776985168457,1.625138759613037,0.7318145036697388,0,0.9991829991340637,0.002066570923198021,5796,1,1.0,0.3602150537634409,77,372
22,ToothFairy3F_040,45,0,1.5979129076004028,3.7804088711738526,1.7561662197113037,0.8029650449752808,0,0.9990352392196655,0.01029819970019145,6901,1,1.0,0.3541666666666667,86,432
22,ToothFairy3F_040,46,0,1.5734118223190308,3.605551242828369,1.7094100713729858,0.906582236289978,0,0.9990932941436768,0.031797291710972786,9814,1,1.0,0.3470394736842105,124,608
22,ToothFairy3F_044,31,1,3.7679786682128906,6.726735353469849,3.996476173400879,2.54388427734375,0,0.9941707253456116,0.00044630109361605563,2866,1,1.0,0.0033333333333333335,56,300
22,ToothFairy3F_044,32,1,2.4471607208251953,4.582575798034668,2.6179003715515137,1.5570756196975708,0,0.9955981373786926,0.0005130769161041858,3986,1,1.0,0.14779874213836477,61,318
22,ToothFairy3F_044,33,0,2.6842353343963623,4.898979663848877,2.8136773109436035,2.044464349746704,0,0.9981898665428162,0.0029441327438689477,6462,1,1.0,0.14418604651162792,87,430
22,ToothFairy3F_044,34,0,2.198171615600586,4.358899116516113,2.364849328994751,1.3504970073699951,0,0.9986530542373657,0.002185310896020351,5944,1,1.0,0.20224719101123595,70,356
22,ToothFairy3F_044,35,0,1.7699246406555176,4.224710249900814,1.946049690246582,0.8446486592292786,0,0.9988572597503662,0.004068079022690357,6546,1,1.0,0.3109919571045576,71,373
22,ToothFairy3F_044,36,1,3.5987448692321777,8.66025447845459,2.817038059234619,4.7027201652526855,0,0.999575674533844,0.2174770237505423,11428,2,0.9999124956247812,0.1122754491017964,473,668
